transaction_id,merchant_id,merchant_name,mcc,amount,currency,transaction_date,card_bin,card_last_four,card_type,issuer_country,processor_name,status
TXN-00001,MERCH-003,Tokopulse Premium Subscription,5816,68240.67,IDR,2026-04-09,424242,8313,credit,ID,ProcessorAlpha,approved
TXN-00002,MERCH-001,Tokopulse Wallet Topup,5912,66343.74,IDR,2026-02-11,453210,9264,credit,ID,ProcessorBeta,approved
TXN-00003,MERCH-002,Tokopulse Marketplace,5999,474.12,USD,2026-04-14,552233,3622,credit,US,ProcessorBeta,approved
TXN-00004,MERCH-002,Tokopulse Marketplace,5816,412404.13,IDR,2026-04-14,510510,2961,credit,ID,ProcessorAlpha,approved
TXN-00005,MERCH-002,Tokopulse Marketplace,5999,538401.41,IDR,2026-04-13,549920,8711,debit,ID,ProcessorAlpha,approved
TXN-00006,MERCH-003,Tokopulse Premium Subscription,5912,183.98,USD,2026-03-03,650400,3999,credit,US,ProcessorGamma,approved
TXN-00007,MERCH-003,Tokopulse Premium Subscription,5411,366.08,USD,2026-03-08,411511,8387,debit,SG,ProcessorBeta,approved
TXN-00008,MERCH-002,Tokopulse Marketplace,5732,324948.29,IDR,2026-04-26,549920,5140,debit,ID,ProcessorAlpha,approved
TXN-00009,MERCH-003,Tokopulse Premium Subscription,5999,399.46,USD,2026-02-08,401234,7767,prepaid,SG,ProcessorGamma,declined
TXN-00010,MERCH-001,Tokopulse Wallet Topup,5968,325.33,USD,2026-04-28,411111,6320,prepaid,NG,ProcessorGamma,approved
TXN-00011,MERCH-003,Tokopulse Premium Subscription,5411,138515.56,IDR,2026-02-14,411111,4709,credit,ID,ProcessorAlpha,approved
TXN-00012,MERCH-002,Tokopulse Marketplace,5732,74227.26,IDR,2026-03-29,601100,2243,debit,ID,ProcessorAlpha,approved
TXN-00013,MERCH-003,Tokopulse Premium Subscription,5411,516801.45,IDR,2026-03-20,470100,2887,credit,ID,ProcessorGamma,approved
TXN-00014,MERCH-002,Tokopulse Marketplace,5816,371447.61,IDR,2026-04-16,552233,2386,debit,ID,ProcessorAlpha,approved
TXN-00015,MERCH-003,Tokopulse Premium Subscription,5411,476.78,USD,2026-04-29,401234,0884,debit,US,ProcessorGamma,declined
TXN-00016,MERCH-004,Tokopulse Gaming,5411,91099.76,IDR,2026-04-22,601100,3420,debit,ID,ProcessorAlpha,approved
TXN-00017,MERCH-002,Tokopulse Marketplace,5999,53643.07,IDR,2026-01-31,453210,5957,prepaid,ID,ProcessorBeta,approved
TXN-00018,MERCH-001,Tokopulse Wallet Topup,5999,291528.58,IDR,2026-04-22,453210,5966,debit,ID,ProcessorAlpha,approved
TXN-00019,MERCH-001,Tokopulse Wallet Topup,5912,242.80,USD,2026-03-11,453210,5613,prepaid,SG,ProcessorAlpha,approved
TXN-00020,MERCH-003,Tokopulse Premium Subscription,5816,260.59,GBP,2026-02-26,650400,2401,prepaid,GB,ProcessorGamma,approved
TXN-00021,MERCH-001,Tokopulse Wallet Topup,5816,526704.64,IDR,2026-03-05,411511,5827,credit,ID,ProcessorAlpha,approved
TXN-00022,MERCH-003,Tokopulse Premium Subscription,5999,611460.77,IDR,2026-02-24,552233,3714,credit,ID,ProcessorGamma,approved
TXN-00023,MERCH-004,Tokopulse Gaming,5816,494.85,USD,2026-03-07,549920,9914,debit,NG,ProcessorAlpha,approved
TXN-00024,MERCH-004,Tokopulse Gaming,5411,74195.52,IDR,2026-02-13,470100,3348,debit,ID,ProcessorAlpha,approved
TXN-00025,MERCH-001,Tokopulse Wallet Topup,5411,400.82,GBP,2026-02-10,650400,6365,prepaid,GB,ProcessorGamma,approved
TXN-00026,MERCH-002,Tokopulse Marketplace,5912,595014.54,IDR,2026-03-14,650400,6485,debit,ID,ProcessorAlpha,declined
TXN-00027,MERCH-004,Tokopulse Gaming,5816,139952.69,IDR,2026-02-16,470100,7624,prepaid,ID,ProcessorAlpha,approved
TXN-00028,MERCH-002,Tokopulse Marketplace,5732,330.35,USD,2026-03-16,401234,0350,credit,US,ProcessorAlpha,approved
TXN-00029,MERCH-001,Tokopulse Wallet Topup,5816,219.74,USD,2026-02-24,411511,4126,credit,NG,ProcessorGamma,approved
TXN-00030,MERCH-003,Tokopulse Premium Subscription,5999,254602.14,IDR,2026-04-10,411511,5796,debit,ID,ProcessorAlpha,approved
TXN-00031,MERCH-004,Tokopulse Gaming,5999,126599.74,IDR,2026-04-06,411511,3000,prepaid,ID,ProcessorAlpha,approved
TXN-00032,MERCH-001,Tokopulse Wallet Topup,5816,363017.31,IDR,2026-02-15,424242,8492,prepaid,ID,ProcessorBeta,approved
TXN-00033,MERCH-004,Tokopulse Gaming,5816,128.00,USD,2026-03-07,453210,7408,prepaid,SG,ProcessorAlpha,approved
TXN-00034,MERCH-001,Tokopulse Wallet Topup,5411,465207.99,IDR,2026-04-05,453210,4541,debit,ID,ProcessorBeta,approved
TXN-00035,MERCH-004,Tokopulse Gaming,5999,659253.58,IDR,2026-03-05,411511,3319,debit,ID,ProcessorGamma,approved
TXN-00036,MERCH-002,Tokopulse Marketplace,5411,339956.79,IDR,2026-02-09,601100,3484,prepaid,ID,ProcessorBeta,approved
TXN-00037,MERCH-003,Tokopulse Premium Subscription,5816,470.05,USD,2026-04-23,453210,2248,debit,NG,ProcessorBeta,approved
TXN-00038,MERCH-002,Tokopulse Marketplace,5411,665425.67,IDR,2026-02-20,470100,2645,prepaid,ID,ProcessorGamma,approved
